ID,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance,Chemistry,Astrology,Spaceology,Life Science,Earth Science,Data Science
9431,1,0,1,1,0,0,0,0,0,0,0,0
7960,1,1,0,1,0,0,0,0,0,0,0,1
8578,1,1,0,1,0,0,0,0,0,1,0,0
1651,1,0,1,1,0,0,0,0,0,0,0,0
4011,1,0,1,1,0,0,0,0,0,0,0,0
5204,1,0,1,1,0,0,0,0,0,1,0,0
1015,1,1,0,1,0,0,0,0,0,0,0,0
5344,1,0,1,1,0,0,0,0,0,1,0,1
3224,1,0,1,1,0,0,0,0,0,1,0,1
3229,1,0,1,1,0,0,0,0,0,0,0,0
5863,1,1,0,1,0,0,0,0,0,1,0,1
7201,1,0,1,1,0,0,0,0,0,0,0,1
640,0,1,1,1,0,0,0,0,0,0,0,0
512,1,0,1,1,0,0,0,0,0,1,0,1
7955,1,0,1,1,0,0,0,0,0,0,0,0
8599,1,0,1,1,0,0,0,0,0,0,0,1
2759,1,0,1,1,0,0,0,0,0,0,0,1
2176,1,0,1,1,0,0,0,0,0,1,0,1
6897,1,0,1,1,0,0,0,0,0,1,0,1
9624,1,0,1,1,0,0,1,0,0,1,0,0
1713,1,0,1,1,0,0,0,0,0,1,0,0
8219,1,1,1,0,0,0,0,0,0,0,0,1
1595,1,1,0,1,0,0,0,0,0,1,0,0
2117,1,0,1,1,0,0,0,0,0,0,0,0
8788,1,1,1,0,0,0,0,0,0,1,0,0
6109,1,0,0,1,1,0,0,0,0,0,0,0
1935,1,0,1,1,0,0,0,0,0,0,0,0
3185,1,0,1,1,0,0,1,0,0,1,0,1
105,1,0,1,1,0,0,0,0,0,1,0,0
7014,1,0,1,1,0,0,0,0,0,0,0,0
4982,1,0,1,1,0,0,0,0,0,1,0,0
675,1,0,1,1,0,0,0,0,0,0,0,1
8224,1,0,1,1,0,0,0,0,0,0,0,0
867,1,0,1,1,0,0,0,0,0,1,0,1
6027,1,1,1,0,0,0,0,0,0,1,0,1
1373,1,1,0,1,0,0,0,0,0,1,0,0
7995,1,0,1,1,0,0,0,0,0,0,0,1
8762,1,0,1,1,0,0,0,0,0,1,0,0
7465,1,0,1,1,0,0,0,0,0,1,0,1
4120,1,0,1,1,0,0,0,0,0,1,0,0
8802,1,0,1,1,0,0,0,0,0,0,0,0
5823,1,0,0,1,1,0,0,0,0,0,0,0
5577,1,1,0,1,0,0,0,0,0,1,0,0
1283,1,0,1,1,0,0,0,0,0,0,1,0
8352,1,0,1,1,0,0,0,0,0,1,0,0
9255,0,1,1,1,0,0,0,0,0,1,0,1
5600,1,1,1,0,0,0,0,0,0,1,0,0
4452,1,1,0,1,0,0,0,0,0,0,0,0
8628,1,0,1,1,0,0,0,0,0,0,0,1
7512,1,0,1,1,0,0,0,0,0,0,0,0
6943,1,0,1,1,0,0,0,0,0,1,0,0
6963,1,0,1,1,0,0,0,1,0,1,0,0
9821,1,1,1,0,0,0,0,0,0,0,0,0
1819,1,0,0,1,1,0,0,0,0,1,0,0
4059,1,0,1,1,0,0,0,0,0,1,0,1
7521,1,0,1,1,0,0,0,0,0,1,0,0
570,1,0,1,1,0,0,0,0,0,0,0,1
2850,1,0,1,1,0,0,1,0,0,0,0,0
9251,1,0,1,1,0,0,0,0,0,1,0,0
3277,1,1,0,1,0,0,0,0,0,1,0,0
1722,1,0,1,1,0,0,0,0,0,0,0,0
187,1,1,0,1,0,0,0,0,0,0,0,0
1321,1,1,0,1,0,0,0,0,0,0,0,1
1730,1,1,0,1,0,0,0,0,0,1,0,0
915,1,0,1,1,0,0,0,0,0,0,0,0
1222,1,1,0,1,0,0,0,0,0,0,0,1
1739,1,0,1,1,0,0,0,0,0,0,0,0
9534,1,1,0,1,0,0,0,0,0,1,0,0
1226,1,0,1,1,0,0,0,0,0,1,0,0
8289,1,1,0,1,0,0,0,0,0,0,0,0
3354,1,0,1,1,0,0,1,0,0,1,0,1
277,1,0,1,1,0,0,0,0,0,0,0,0
7151,1,0,1,1,0,0,0,0,0,1,0,1
3830,1,0,1,1,0,0,0,0,0,1,0,0
6984,1,0,1,1,0,0,0,0,0,1,0,1
2285,1,0,1,1,0,0,0,0,0,1,0,0
2800,1,0,1,1,0,0,0,0,0,1,0,1
9545,1,0,1,1,0,0,1,0,0,0,0,1
349,1,0,1,1,0,0,0,0,0,0,0,0
5156,1,0,1,1,0,0,0,0,0,0,0,1
4557,1,0,1,1,0,0,0,0,0,0,0,1
7283,1,0,1,1,0,0,0,0,0,1,0,1
2021,1,1,0,1,0,0,0,0,0,0,0,0
2020,1,0,1,1,0,0,0,0,0,1,0,0
3650,1,0,1,1,0,0,0,0,0,0,0,1
4894,1,1,0,1,0,0,0,0,0,0,0,1
3651,1,1,0,1,0,0,0,0,0,1,0,0
3653,1,0,1,1,0,0,0,0,0,1,0,1
2512,1,1,1,0,0,0,0,0,0,0,0,1
5463,1,0,1,1,0,0,0,0,0,0,0,0
9696,1,0,1,1,0,0,0,0,0,1,0,1
3902,1,0,1,1,0,0,0,0,0,0,0,1
6218,1,1,1,0,0,0,0,0,0,0,0,0
1547,1,0,1,1,0,0,0,0,0,1,0,0
3903,1,1,0,1,0,0,0,0,0,0,0,0
4886,1,0,1,1,0,0,0,0,0,0,0,1
9181,0,1,1,1,0,0,0,0,0,0,0,0
3959,1,0,1,1,0,0,0,0,0,1,0,1
2584,1,0,1,1,0,0,0,0,0,1,0,1
8072,1,0,1,1,0,0,0,0,0,0,0,0
5880,1,0,1,1,0,0,0,0,0,1,0,1
9175,1,0,1,1,0,0,0,0,0,0,0,1
7736,1,0,1,1,0,0,0,0,0,0,0,1
3894,1,0,1,1,0,0,0,0,0,1,0,1
2002,1,0,1,1,0,0,0,0,0,1,0,0
5731,1,0,1,1,0,0,0,0,0,0,0,1
2539,1,0,1,1,0,0,0,0,0,0,0,1
73,1,0,1,1,0,0,0,0,0,1,0,1
1100,1,0,1,1,0,0,0,0,0,0,0,0
5267,1,0,1,1,0,0,0,0,0,1,0,0
6608,1,1,0,1,0,0,0,0,0,1,0,1
8114,1,0,1,1,0,0,0,0,0,0,0,1
6101,1,0,1,1,0,0,0,0,0,1,1,0
6619,1,0,0,1,0,0,0,0,0,0,0,1
2058,1,0,0,1,0,0,0,0,0,1,0,1
4448,1,0,0,1,0,0,0,0,0,1,0,0
8365,1,0,0,1,0,0,0,0,0,1,0,0
6673,1,1,0,0,0,0,0,0,0,1,0,0
6620,1,0,0,1,0,0,0,0,0,0,0,0
8468,1,0,0,1,0,0,0,0,0,1,0,0
4467,0,0,1,1,0,0,0,0,0,1,0,1
6609,1,1,0,0,0,0,0,0,0,0,0,1
4544,1,1,0,0,0,0,0,0,0,0,0,0
8464,1,0,0,1,0,0,0,0,0,1,0,0
6621,1,0,1,0,0,0,0,0,0,0,0,0
6610,1,0,0,1,0,0,0,0,0,0,0,1
8369,1,0,1,0,0,0,0,0,0,1,0,0
2192,1,0,1,0,0,0,0,0,0,1,0,1
8371,1,0,1,0,0,0,0,0,0,0,0,0
2189,1,0,0,1,0,0,0,0,0,1,0,1
8373,1,0,0,1,0,0,0,0,0,1,0,1
2230,0,0,1,1,0,0,0,0,0,0,0,0
2231,1,1,0,0,0,0,0,0,0,1,0,0
4531,1,0,1,0,0,0,0,0,0,0,0,1
8376,1,0,0,1,0,0,0,0,0,1,0,0
4446,1,0,0,1,0,0,0,0,0,1,0,1
2233,1,0,0,1,0,0,1,0,0,1,0,0
2199,1,0,0,1,0,0,0,0,0,1,0,1
8469,0,1,1,0,0,0,0,0,0,1,0,0
2040,0,0,1,1,0,0,0,0,0,0,0,1
4455,1,0,0,1,0,0,0,0,0,0,0,1
2047,1,0,0,1,0,0,0,1,0,0,0,0
2043,1,0,0,1,0,0,0,0,0,1,0,0
8349,0,0,1,1,0,0,1,0,0,1,0,1
2215,1,0,1,0,0,0,0,0,0,1,0,0
4541,1,0,0,1,0,0,0,0,0,0,0,1
8475,0,0,1,1,0,0,0,0,0,1,0,0
4540,1,0,0,1,0,0,0,0,0,1,0,1
2213,1,0,0,1,0,0,0,0,0,1,0,0
2212,1,0,1,0,0,0,0,0,0,0,0,0
8353,0,1,1,0,0,0,0,0,0,1,0,1
